職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
期貨策略 AI 工程師 (AI Engineer),天鏡科技股份有限公司,40000.0,經歷不拘,"你是對期貨買賣操作有想法的人嗎 ? 

徵求期貨界的傑西.李佛摩 -「最活躍的美國股市投機客」，想挑戰高薪及持續性收入嗎 ? 我們歡迎您加入「策略無限 - 策略開發」團隊 !!

* 我們有全世界最厲害的回測系統，您發想出來的策略，回測台灣期貨19年的交易資料只要5-10分鐘，其他的回測系統則需要3-4 個小時。5-10分鐘我們還不滿意呢， 1 秒內完成19年的回測是未來目標，這真的很 COOL。

* 我們有全世界最厲害的雲端Google 主機自動下單系統，免盯盤、家中免電腦、APP接受下單成交推播，您發想的策略，第二天立刻投入實戰。

Required Skills & Experience
• Experience of Deep Learning, machine learning and Artificial Intelligence with MS in Engineering, Mathematics, Computer Vision or Computer Science 
• Experience working with modern Deep Learning techniques, framework and applications, Python, DL framework (e.g Tensorflow, Keras, PyTorch...), C, C++, C# programming experience (One of them) 
• Experience working with Deep Learning projects 
• Good teamwork and interpersonal skills 
• Action oriented with good communication, analytical and problem-solving skills",未填寫,,電腦系統整合服務業,0.0
約聘AI軟體驗證工程師,聯發科技股份有限公司,26000.0,經歷不拘,"1. 協助軟體工程師執行AI系統整合與驗證
2. 協助軟體工程師執行AI系統軟硬體效能評估與測試",1. 具有 C/C++/Python程式能力2. 具有Android應用程式能力 (非必備/加分題)3.此職缺之薪資起始水準為NT$26000~50000，但仍會視人選之學經歷背景調整核定。, C C++,半導體製造業,0.0
Product Manager(IoT/IPC/Ai),立達信光電集團_立信電子科技有限公司,40000.0,經歷不拘,"1. 訂定產品需求與規格
2. 市場分析與掌握
3. 產品研發流程協調控制
4. 危機處理與各部門協調
5. 制度流程建立與最佳化
6. 產品知識培訓
7. 具PM特質，擁有良好的組織與溝通能力、靈活度高",1.兩年以上科技業產品開發、專案管理或FAE經驗佳2.有IOT產品開發經驗佳, Excel PowerPoint Project 專案時間╱進度控管 提案與簡報技巧 產品開發預算與成本控管 市場調查資料分析與報告撰寫,其它軟體及網路相關業,0.0
處理器架構師(AI),聯發科技股份有限公司,40000.0,4年以上,人工處理器系統架構設計，包含效能，DRAM頻寬以及功耗分析,NA,,半導體製造業,4.0
硬體架構工程師(AI),聯發科技股份有限公司,40000.0,4年以上,"The AI HW Architect is responsible for AI processing unit HW architecture to support MediaTek smart-phone/automotive/digital home products. The function of AI HW is to support state of art AI/Vision/Voice algorithms
Due to the target products are edge devices, the AI HW Architect should define the solution with best overall power, performance, DRAM BW, cost, and scalability to support smart-phone/automotive/digital home use cases, by setting evaluation models and use-case analysis.
The target products are SoC designs, which have CPU/GPU/DSP. He or she also considers the co-working mechanism for AI HW with these processing units. To conduct a best solution for the target applications.","Requirement:1. Familiar with digital hardware architecture for parallel processing2. Familiar with at least one of performance, power, area, and memory bandwidth analysis and optimization3. Understanding SoC architecture, such as smartphone or DTV SoC Familiarity with one or more of following tasks is a plus1. Machine Learning2. Processor design3. Bus protocol, such as AMBA AXI4. Familiar with Verilog design5. SystemC modeling",,半導體製造業,4.0
AI產品應用PM-B30D,精誠資訊股份有限公司,24000.0,1年以上,"1.Ai加值應用推廣,及專案管理
2.人臉辨識,智慧語音機器人(ChatBot),服務型機器人推廣及協助業務
3.Ai+場景設計",NA,,電腦系統整合服務業,1.0
AI 人工智能工程師,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,40000.0,經歷不拘,"1.數據采集及控制
2.數據分析建模與預測
3.視覺瑕疵檢測、設備AI控制、影像分析(AI)","1.擁有統計分析、資料建模（Data modeling）以及 SAS 等技能,能設計分析資料的演算法，建立統計模型。2.對人工智慧有強烈熱誠與興趣，了解演算法, 資料結構, Machine Learning, 訊號處理等 3. 有機器學習或深度學習研究背景尤佳。 4. 熟悉Linux環境下的Java和Python編程，有很強的算法實現能力。 5. 使用AI開發相關經驗, 如TensorFlow, Caffe等", C++ Java Python,精密儀器相關製造業,0.0
AI新創應用工程師,愛酷智能科技股份有限公司,40000.0,2年以上,"工作內容：
1.參與網站規劃團隊會議
2.網站新創功能開發
2.全球集團後台系統開發與維護
3.研究各種人工智慧創新應用等新技術，並參與對於數位媒體行銷相關應用開發。

愛酷智能科技主要為創新AI領域的應用開發，與企業的創新服務，提供良好工作環境與延攬優秀人才，開發符合消費者期待的各類創新應用服務，開發團隊並曾獲各類資訊大獎肯定，如果您想嘗試AI應用情境的開發，現在應用最創新的聊天機器人規劃，我們現擴大招募優秀資訊人才，提供完整福利與工作環境，如果您具備挑戰新事物的特質，歡迎您加入愛酷智能的開發團隊。",未填寫, PHP Python,電子通訊/電腦週邊批發業,2.0
AI 資深ASIC設計工程師,創惟科技股份有限公司,40000.0,8年以上,"負責AI產品ASIC設計與驗證工作。
1. Researching and Implementing of AI acceleration chip design.
2. Optimizing logic and chip for low power and high performance.
3. Verifying logic under simulation and estimating PPA before tape out.
4. Cooperating with other parts (application software).","1. BS/MS/PhD in Electronics Engineering or a related System LSI field.2. At least 8 years of industry experience in design and verification of SoC/MCU/ASIC3. Experiences in field of ASIC Design, Synthesis and Timing Closure4. Solid design or verification experience of ASIC/SoC, such as that use standard IP components and interconnects, including microprocessor cores, hierarchical memory subsystems and SoC – AXI BUS, DMA, System MMU, interface Mixed IP such like USB, MIPI and LVDS5. Mandatory Experience and Skills (one or more):  - HDL Design Language(Verilog, System Verilog), Synthesis Tools, DFT tool- Architectural design experiences such like AMBA AXI, RISC CPU, Interconnect IP- SoC IPs and memory architecture (USB/MIPI, MMU/Cache/Controller)- Frontend design (Synthesis, STA, DFT, CDC) experience6. Strong prior for low power design experiences, knowledge/experience in metric driven verification with SystemVerilog (creation of and usage of verification components and environments with OVM or UVM)7.Strong prior experiences of ESL level modeling (with C/C++, or SystemC)8.Must be able to communicate with team members in English.", C C++ ASIC Verilog,IC設計相關業,8.0
AI語音交互工程師,台灣富號科技有限公司,40000.0,4年以上,"1.	負責智能語音交互平台系統開發，並應用在行動裝置App與智能終端設備上。
2.	負責訓練自然語言語義理解模型，並以開發自然流暢的語音互動功能為目標。
","專業技能：Java, Node.js1.	熟悉Web Service開發 (無AI經驗可)。2.	熟悉Java API, Node.js, Spring Framework。3.	熟悉JSON資料格式操作。4.	熟悉Git版本控制。5.	具語音助理 (Alexa or Google) 相關開發經驗佳。6.	有獨立作業能力與問題解決能力，並善於跨團隊溝通。", Java,電腦軟體服務業,4.0
AI學院-學習顧問 Consultant,美商訊能集思智能科技股份有限公司台灣分公司,40000.0,經歷不拘,"1. 解決學員課程及專題問題 
2. 編製實作課教材 ",◎ 上班地點：中國杭州  ◎ 必備項目：1. 良好溝通與團隊合作能力 2. 熟悉python/R與相關套件且有實作經驗者 3. 熟悉機器學習/深度學習/統計分析/資料視覺化/資料探勘工具與理論 4. 熟悉Tensorflow/Keras 5. 熱於教學與分享  ◎ 加分項目：1. 深度數理統計理論功底 2. 在機器視覺、自然語言、機器學習、類神經網路、機器人控制等領域中具深度研究與開發經驗 3. 顧問或專案管理經驗 4. 雲端平台與伺服器維護管理經驗 5. GPU運算（CUDA or OpenCL）撰寫經驗 6. 巨量數據處理經驗 7. 良好英文能力可研讀最新論文 8. Git版本控制 ◎ 我們提供這樣的福利：※具競爭力薪資※免費提供住宿※中國發展機會※培訓成長資源※輪調發展培訓機會,,電腦軟體服務業,0.0
AI＋AOI業務行銷人員,泓邦科技有限公司,40000.0,經歷不拘,"1.負責新產品行銷企劃案之撰寫、規劃與執行。
2.蒐集市場情報，並擬定、分析行銷策略和價格策略。
3.充分理解公司業務及行業特點，結合客戶要求以制定個別方案。
4.維護既有客戶，開發新客戶，並推展業務
5.公司備後勤技術團隊支援
6.AI人工智慧應用軟體及機械視覺部品 業務推廣",具備半導體產業或自動化光學檢測相關經驗者尤佳,,自動控制相關業,0.0
AI專案助理工程師,日月光半導體製造股份有限公司,30000.0,經歷不拘,"(1)  協助工程師相關工程資料。  
(2)  整理AI模型訓練之圖片。",(1)  資工 \ 工業工程 \ 應數 \ 統計 \ 資管 \ 電機 \ 機械   相關科系畢業尤佳。  (2)  熟悉電腦基本操作。  (3)  有蒐集整理資料、數據分析能力尤佳。  (4)  個性細心、積極有責任感、善於溝通、學習力強、富上進心。  (5)  表現優異者、可轉為正職工程師。《資格符合者將以 Email 或電話方式通知面試、不符者恕不一一通知》, Linux Python,半導體製造業,0.0
 AI Developer Technology Engineer(Taipei/Hsinchu),NVIDIA_香港商輝達香港控股有限公司台灣分公司,40000.0,經歷不拘,"NVIDIA is looking for a passionate, world-class computer scientist to work in its Compute Developer Technology (Devtech) team.

What you will be doing:

•	Study and develop cutting-edge techniques in deep learning, graphs, machine learning, and data analytics, and perform in-depth analysis and optimization to ensure the best possible performance on current- and next-generation GPU architectures.
•	Work directly with key customers to understand the current and future problems they are solving and provide the best AI solutions using GPUs.
•	Collaborate closely with the architecture, research, libraries, tools, and system software teams at NVIDIA to influence the design of next-generation architectures, software platforms, and programming models.

What we need to see:

•	A good degree from a leading university in an engineering or computer science related discipline (BS; MS or PhD preferred).
•	Strong knowledge of C/C++, software design, programming techniques, and AI algorithms.
•	Experience with parallel programming, ideally CUDA C/C++.
•	Good communication and organization skills, with a logical approach to problem solving, good time management, and task prioritization skills.
•	Some travel is required for conferences and for on-site visits with customers.

With highly competitive salaries and a comprehensive benefits package, NVIDIA is widely considered to be one of the technology industry's most desirable employers. We have some of the most brilliant and talented people on the planet working with us and our engineering teams are expanding fast. If you're a creative and autonomous computer scientist with a genuine passion for parallel computing, we want to hear from you.

We are an AA/EEO/Veterans/Disabled employer

",未填寫,,電腦及其週邊設備製造業,0.0
 AI Software Engineer(SoC_LTD-DD),聯詠科技股份有限公司,40000.0,3年以上,"The System Software Engineer is responsible for FPGA verification & Driver/Library development, to support in-house or 3rd-party HW IP solution for AI/Deep Learning Processor/Accelerator.
Major responsibilities will be to: 
1. Driver/Library and Verification for HW IPs. 
2. System Integration on SoC.
3. Porting between different OS / Platform.
4. HW / SW performance analysis & tuning.

【共創A+聯詠】 
穩健踏實、專家精神、創造優勢
驅動科技、開發創新、引領未來
邀請優秀人才，共創A+聯詠",1. At least 2 years of experience with embedded Linux / RTOS platform driver development.2. Solid knowledge in Computer architecture and Operating System3. Proficient programming skills in C. 4. Experience with OpenCL / CUDA programming is a plus.5. Experience with DLA / VPU / GPU development is a plus.6. Experience with LLVM is a plus7. Experience with multi-processor / multi-thread programming is a plus.,,半導體製造業,3.0
(GBS) AI Watson team-Architect,IBM_台灣國際商業機器股份有限公司,40000.0,經歷不拘,"IBM Global Business Services (GBS) is a world leading strategy consultancy with deep industry expertise. We are looking for application architect in the financial services.
 
This role will take strong leadership in technical aspect to guide client reinventing their business using cutting edge technologies. Also expected to work closely with user experience designer and business consultant to realize client’s vision for new applications both on premise and on cloud.
1.	Lead or join development team in projects to deliver proposed system for client’s business requirements.
2.	Responsible for design application architecture and outline component model specification for team member to implement.
3.	Provide industry insights in requirement elicitation.
4.	Fast response to POC activities to early assess solution feasibility and risks of architecture design
5.	Technology Evangelist in application architecture and programming.
","- At least Bachelor's degree, master degree is a plus.- 8+ years' experience in web application development- Ability to write architecture documents to define the structures of solutions and architectures to address client business problems.- Familiar with NodeJS, Restful API, SQL language and any RDBMS is a must.- Experience in any IBM Cloud service, NoSQL database(Redis, CouchDB, Mongo etc.) and DevOps CI/CD tools is a plus.- Strong verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations.",,電腦系統整合服務業,0.0
(GBS) AI Watson team-Developer,IBM_台灣國際商業機器股份有限公司,40000.0,經歷不拘,"IBM Global Business Services (GBS) is a world leading strategy consultancy with deep industry expertise. We are looking for application architect in the financial services.
 
This role will take strong leadership in technical aspect to guide client reinventing their business using cutting edge technologies. Also expected to work closely with user experience designer and business consultant to realize client’s vision for new applications both on premise and on cloud.
1.	Lead or join development team in projects to deliver proposed system for client’s business requirements.
2.	Responsible for design application architecture and outline component model specification for team member to implement.
3.	Provide industry insights in requirement elicitation.
4.	Fast response to POC activities to early assess solution feasibility and risks of architecture design
5.	Technology Evangelist in application architecture and programming.
","- At least university graduate, computer science is preferred.- 3+ years' experience in web application development.- Familiar with front-end programming skills like HTML5/CSS3/Javascript/JQuery/AJAX/BootStrap etc.- Solid experience on back-end development using NodeJS and SQL language.- Must familiar with Git version control system.",,電腦系統整合服務業,0.0
"Software engineer AI (Beijing, Shanghai, Suzhou)",台灣微軟股份有限公司 (Microsoft),40000.0,1年以上,"Shared Data team in Microsoft STCA is responsible for developing and operating one of the world’s largest data eco-system: more than 12PiB of data is ingested into the system and being processed, stored and accessed via the data API every day. Thousands of developers in Bing, Office, and Azure are working on top of the data products that the team built. The team is also responsible for developing and operating critical AI/ML/DL based services including anomaly detection, bot detection, and intelligent data catalog. We’re looking for passionate data engineers/scientists to join us for the mission of powering Microsoft businesses through Data + AI and infusing our data capabilities to the industry through Microsoft Azure.

Responsibilities
What You’ll Do

-          Design and develop key capabilities for our planet-scale data system

-          Build intelligence on top of 160 PiB of Microsoft data assets to power Microsoft businesses and industry

-          Work with world-class engineer/scientist team

-          Embrace both Microsoft technology and cutting-edge open source technology


Qualifications
What to Bring

-          Passion on big data and data science

-          Solid coding and engineering skill

-          Good analytics skill, good communication skill, fluent in English (both oral and written)

-          Experience in developing large-scale distributed system is a plus

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 

 

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",未填寫,,電腦軟體服務業,1.0
【AI】程式設計師,唯晶科技股份有限公司,45000.0,4年以上,"1. 模組功能的設計、開發與實施；
2. 承擔產品經理或指導人佈置的工作任務；
3. 承擔專案和需求的開發、單元測試、上線維護等任務；
4. 編寫相關工作的需求分析檔案、配置文檔和程式說明；
5. 運用機器學習算法實現業務建模；
6. 完成上級主管分配的工作任務、並達到公司制度規定的考核要求；
7. 機器學習或大數據項目經驗者優先錄取。
","1. 4年以上後端開發經驗；2. 熟悉Python、B/S開發模式，熟練使用 Django、Flask等主流框架；3. 熟悉SQL，使用過Postgresq、lMySQL、Oracle等任意一種資料庫;4. 熟悉Redis/MemCache，RabbitMQ/ActiveMQ/ZeroMQ，ZooKeeper等底層中介軟體及分散式技術；5. 精通機器學習 sklearn 與深度學習 tensorflow 建模與資料分析技術6. 掌握Linux作業系統常用命令，熟悉Nginx, Apache等應用伺服器中的至少一種7. 熟悉設計模式；掌握物件導向軟體分析、設計方法，並能熟練應用UML及工具進行設計8. 思路清晰、善於思考、能獨立分析和解決問題;9. 有良好的代碼習慣，要求結構清晰，命名規範，邏輯性強，代碼冗餘率低；10.熱衷於新技術，能夠適應快速和發展的開發環境；11.工作細緻認真，開放和積極的工作態度，有良好的團隊合作精神；12.有使用spark大資料平臺、具有數理統計、資料倉儲或人工智慧專案經驗優先。", UML Python MySQL Oracle PostgreSQL,其它軟體及網路相關業,4.0
AI演算法開發工程師,台趣科技有限公司,40000.0,2年以上,"1、AI影像演算法之研究、發展、設計、構建、驗證等工作
2、熟悉 Python, C, C++
3、熟悉 TensorFlow, Keras, OpenCV
4、熟悉 影像處理、深度學習 
5、具備 CNN 實作經驗一年以上，或是有 Deep Learning專案經驗
",未填寫, C C++ Python,數位內容產業,2.0
Vision AI Engineer(南港)_IoT,神基科技股份有限公司,40000.0,經歷不拘,"At IOT group of Getac, we’ve developed an end-to-end, smart mobile video system solution for law-enforcement market. The solution allows law enforcement related departments to conduct police duties, homeland security by capturing and recording videos as evidence, upload to cloud and be able to efficiently and intelligently manage terabytes of video data and analyze crime data on the back-end. It greatly assists police officers and prosecutors in scientific investigations. In addition, we are planning and developing new IOT solutions for different vertical market applications.

As a Vision AI Engineer You Will
•Develop computer vision algorithms in areas of license plate, object and face detection, recognition and tracking.
•Develop face redaction and facial recognition.
•Camera system Image quality tuning and tool development
•Develop LPR engine
•Familiar with image processing, pattern recognition, computer vision and deep learning.
•Familiar with mainstream toolkits, such as Tensorflow, MXNet, Pytorch, Caffe2, CNTK, etc.
•Familiar with Azure AI architecture and other cloud AI service 
•Knowledge of OpenCV, C/C++ and Python
•Knowledge of deep learning
•Knowledge of management datasets
•Ability to solve challenging problems 
•Team work",具博士畢業生資格, C C++ DSP,電腦及其週邊設備製造業,0.0
Junior/Senior廣告AI工程師,艾得基客行銷顧問股份有限公司,40000.0,1年以上,"adGeek艾得基客是一家專注於網路廣告投放優化及行銷整合的互聯網公司。公司高速成長下，伴隨我們對於技術的依賴。因此，我們有一個全新的計劃來發展應於廣告投放的AI系統平台。若你(妳)與我們一樣專注、具備信心共同打造未來及爭取市場上第一的廣告優化技術，我們誠摯地邀請您加入我們。我們有自信，你(妳)不只喜歡我們的文化，將更熱愛這份工作。

關於這個職務，我們期望你（妳）有以下撰寫或者深度學習與訓練地經驗：
1. PHP (5.6+)，Java，Python，HTML/Javascript/CSS
2. MySQL，NoSQL，Elasticsearch，Solr，Lucene etc....
3. Tesorflow，Deep Learning，Machine Learning etc....
4. Spark，Kafka，Apache Storm，Apache kylin，Apache Hadoop etc....
5. AWS，GCP，Linux etc....

所以，我們希望即將成為我們夥伴的你(妳)，可以具備以下特質:

1. 你(妳)必須對於技術有著極大的熱情 
2. 你(妳)可以輕鬆的面對工作，但不可以沒有責任心 
3. 你(妳)可以展現個人能力，但不可以特異獨行

概括來說，為了提供給公司業務及產品更完整的支持，對於廣告的相關知識，我們有完整的教育訓練，你(妳)不必擔心。我們更期待你(妳)能夠與團隊成員合作、溝通，擁有面對挑戰的決心與毅力以及對於網路廣告服務無限的熱情， 主動積極地向我們推薦自己，我們將誠摯歡迎你(妳)的加入。",未填寫, Linux UML Java PHP Python MySQL RDBMS HTML JavaScript jQuery HTTP ssh 伺服器網站管理維護 軟體工程系統開發 軟體程式設計 網路程式設計 資料庫程式設計 設計網路安全系統 網路安全架構分析與設計,工商顧問服務業,1.0
AI圖像識別工程師,鴻海精密工業股份有限公司,40000.0,3年以上,工業檢測領域之圖像智能識別軟件開發(電子產品測試分析數據),1.AI圖像識別軟件開發專業2.具備圖像深度學習演算法(tensorflow or keras or caffe)及傳統圖像處理算法(OpenCV or Matlab or Halcon)經驗為佳3.掌握編程語言(Python or C++ or C#)4.有獨立完成項目經驗者優先,,消費性電子產品製造業,3.0
AI影像設計資深工程師,貝里斯商環能綠力生技有限公司台灣分公司,40000.0,經歷不拘,"""1.AI 臉部辨識
2.3D 影像辨識   
3.大數據分析
4.負責產品開發階段軟件相關設計的產出、驗證、
   變更、產品可行性評估.
5.開發產品所需軟件與檢測調試.
6.開發預算的評估及軟件開發工具的請購.
7.軟體異常的解析與對策.""
","""1.具備影像開發經驗.2. 熟悉Deep Neural Network/ CNN Design3. 熟悉Supervised/ Unsupervised Learning/     Reinformation/ Earning/ Network Education/     GAN/ Capsule NET4. 熟悉TensorFlow Keras5.熟悉OpenCV視覺資料庫(具備以上多項技術及經驗者更佳)""", Android iOS C C# C++ Java Visual Basic Visual Studio 系統架構規劃 系統整合分析 軟體工程系統開發 網路資料傳輸 軟體程式設計 韌體程式設計 網路程式設計 網路應用軟體操作,環境衛生及污染防治服務業,0.0
AI and IoT SoC and Solutions-Product Marketing Manager,鴻海精密工業股份有限公司,40000.0,7年以上,"1. Creating product marketing plans, including product definition/positioning, and market strategy insights
2. Discovery of strategic business opportunities through inter-group collaboration, and handle the engagement, driving to design-wins and revenue capture
3. Establish the product support and communications with strategic solution partners
4. Drive and manage all pre-design-win efforts and deliverables, including product and marketing collateral, technical exhibitions, and proof-of-concept demos
5. Understand customer HW and SW requirements, targeted applications,  application scenarios, and system architecture
6. Understand customer’s business models, goals and requirements, and setting up the account strategy accordingly, making the tactical milestones, and leading the team to achieve them
7. Work with development core team closely on projects with customers and strategic partners
8. Maintain awareness of, and provide reports on, customer project status and key issue/resolution",NA,,消費性電子產品製造業,7.0
AI學院-技術顧問 Technical Consultant,美商訊能集思智能科技股份有限公司台灣分公司,40000.0,經歷不拘,"1. 解決學員python實作技術問題 
2. 指導學員執行專案
3. 參與大型企業專案擔任資料科學家/深度學習工程師","◎ 上班地點：中國杭州  ◎ 必備項目：1. 良好溝通與團隊合作能力 2. 熟悉python/R與相關套件（如 NumPY, SciPY, Pandas, Scikit, NLTK, spaCY, OpenCV, Pillow等）有實作經驗者 3. 熟悉機器學習/深度學習/統計分析/資料視覺化/資料探勘工具與理論 4. 熟悉Tensorflow/Keras等相關框架 5. 曾獨立完成或管理AI專案 ◎ 加分項目：1. 在機器視覺、自然語言、機器學習、類神經網路、機器人控制等領域中具深度研究與開發經驗 2. GPU運算（CUDA or OpenCL）撰寫經驗 3. 巨量數據處理經驗 4. 3年以上產業經驗 ◎ 我們提供這樣的福利：※具競爭力薪資※免費提供住宿※中國發展機會※培訓成長資源※輪調發展培訓機會",,電腦軟體服務業,0.0
AI軟體工程師_67650,Shuttle_浩鑫股份有限公司,33000.0,經歷不拘,"1.	深度學習平台開發與維護 
2.	機器學習與電腦視覺專案開發與維護 
3.	結合前端IoT設備進行深度學習應用開發

※依求職者之學經歷、工作年資、技能、潛力以及特殊性敘薪 ","1.	熟悉Python, Djangle程式設計 2.	有TensorFlow, Caffe等相關深度學習開發經驗 3.	熟悉OpenCV等相關電腦視覺應用尤佳 4.	樂於分享工作經驗並適應團隊合作 5.	良好的邏輯思考能力與積極的工作態度", C++ Python MySQL,電腦及其週邊設備製造業,0.0
Senior Back-End Engineer at an AI solutions company,萬寶華企業管理顧問股份有限公司,40000.0,經歷不拘,"Has good understanding of Ansible or Chef.
More than 3+ years of work experience in Ruby on rails. 
Experience of at least one project that you develop from scratch.
Proficient in database such as PostgreSQL
Conversational level communication in English.
Bachelor's degree in computer science or related degree.

Preferred:
Experience in AWS and Container technologies such as Kubernetes and Docker
Familiar with developing or maintaining hybrid/mobile applications or new technologies such as AI systems
",未填寫,,人力仲介代徵,0.0
Digital IC Designer (AI/Deep Learning),晶心科技股份有限公司,40000.0,經歷不拘,AI處理器數位電路設計,1. Familiar with at least one generic programming language is required2. Familiar with AI/deep learning models and algorithms3. Familiar with system integration and performance trade-offs4. Familiar with Linux environment, C Verilog C++ RTL,電腦及其週邊設備製造業,0.0
AI政府計畫執行專員,中華民國資訊軟體協會,40000.0,2年以上,"負責經濟部工業局「促成資服業者AI加值轉型計畫」、「推動中小型企業轉型發展AI應用」及規劃與執行AI產業學院，工作項目說明如下：
1.規劃與辦理AI技術及應用研討會、交流媒合會等活動。
2.規劃與執行AI加值資訊產品及服務之輔導案。
3.設計與辦理AI技術工作坊。
4.辦理AI加值計畫招標及審查會議等。
5.計畫管考、計畫規劃及計畫書撰寫、工業局相關報告及簡報製作。
6.辦理大型資訊展會活動。",1.具備資訊服務業發展相關知識(具備AI技術應用能力尤佳)、撰寫計畫書、簡報製作、專案管考、計畫文件彙整等能力；或是辦理大型展會活動、研討會、工作坊等，具其一能力者佳。2.具備溝通協調能力、簡報能力3.具備研討會、工作坊或AI課程等規劃與執行能力, Excel Internet Explorer Outlook PowerPoint Word 行銷製作物規劃與執行 提案與簡報技巧 實體活動規劃與執行 研討會／講座活動規劃與執行 公關活動規劃與執行 記者會規劃與執行 廣告企劃案╱文案撰寫,電腦軟體服務業,2.0
醫療AI銷售工程師,長佳智能股份有限公司,32000.0,2年以上,"1.規劃執行區域業務計畫並達成年度區域業績目標。
2.提供客戶群詳實的產品資訊，並迅速反應客戶之意見及市場資訊。
3.培養並建立與客戶間長期的伙伴關係。
4.即時提供最新的競爭者資訊。
5.善與研發部門溝通合作，並有效執行產品行銷計劃。",1.具2~5年以上醫療器材廠業務經驗尤佳2.對醫療AI新興產業有興趣,,生化科技研發業,2.0
F-AI數據分析師,財團法人中衛發展中心,38000.0,經歷不拘,"工作內容：
1.參與工業局供應鏈數位串流與AI應用輔導案
2.執行市場銷售預測、備料預測、排程規劃等AI分析
3.運用數據分析能力協助預知保養分析
4.SCADA或PLC資料的資料整理(ETL)
5.擔任未來中心工業數據分析的種子人員

工作需求：
1.具備數據分析經驗兩年以上
2.具備簡報與計畫書撰寫經驗
3.具備SQL能力、資料整理ETL經驗
4.具備 Python或R 分析語言能力
5.碩士以上學歷",NA,,工商顧問服務業,0.0
AI專案助理工程師,深智科技股份有限公司,30000.0,經歷不拘,"1. 實作人工智慧演算法於影像辨視上 
2. 數據分析，建模與前處理 
3. 開發及佈署機器學習、深度學習模型",未填寫,,電腦軟體服務業,0.0
HPC AI 系統軟體工程師,鴻海精密工業股份有限公司,40000.0,2年以上,"以下各項或部份項目:
1. 容器管理平台
2. 機器學習與深度學習效能分析優化
3. 應用流程設計
4. Web程式設計","具備以下部份能力:1. 熟悉 Python, Java, PHP 等程式語言2. 熟悉 Linux 系統管理操作3. 影像處理, 神經網路, 分散式系統, 演算法概念4. Hadoop, TensorFlow, PyTorch等開源軟體整合測試與分析5. 貢獻開源社群或有公有雲經驗優先錄取",,消費性電子產品製造業,2.0
【AI】CAA AI應用開發工程師(台北頂埔),鴻海精密工業股份有限公司,40000.0,5年以上,"1. Software integration for AOI equipments
2. Image classification applications for surface defect inpection
3. Machine vision and robot motion control integration","1. OpenCV, Halcon2. C/C++/Python, Matlab, Tensorflow, CUDA3. Machine learning and image process theories",,消費性電子產品製造業,5.0
資深NLP/AI產品經理 Senior Product Manager (NLP or AI),前進智能股份有限公司,40000.0,5年以上,"工作內容:
2-3 years of experience in NLP and/or AI
Identify product opportunities through primary and secondary customer and market research
Concept, size, and evaluate potential product opportunities
Collaborate with product team on initiatives and focus
Guide development teams through the build out of new products and feature enhancements
Liaise with customers, partners, sales, and customer service to create high-quality products
Manage the product life cycle from strategic planning to tactical execution
必要條件:
BS degree in Computer Science, Engineering, Business or other relevant field
5+ years minimum as a Product Manager
SaaS / Enterprise experience is required
Excellent organizational, problem-solving, analytical, written and oral presentation skills
Knowledge of retail industry or eCommerce is a plus
加分條件:
Superior oral and written communication skills
Familiarity with machine learning subject matter
Demonstrated ability to launch and grow innovative technology products
Demonstrated track record in crafting compelling positioning and marketing content for technical products
A bias for action for developing awesome marketing assets (product videos, web content)
A career path that demonstrates increasing levels of responsibility and a knack for driving and/or being associated with benchmark industry products/services
The demonstrated ability to work independently and autonomously
Ability to easily transition from high level strategic thinking to creative and detailed execution",NA,,其它軟體及網路相關業,5.0
AI 版圖晶片設計工程師(AI Physical Designer; IC Layout Engineer),兆發科技股份有限公司,40000.0,經歷不拘,"崗位職責：
依據 IC 電路原理圖，獨立或協作完成電路子模組以及整體電路的版圖設計和驗證
崗位要求：
1.微電子/積體電路  相關領域  本科/碩士 
2.具學習 IC LAYOUT 熱忱、抗壓、穩定性佳
3.熟練使用軟體: Virtuoso , Laker, calibre 等工具，熟悉各 FAB 制程，tsmc 28nmprocess 以下尤佳
4.熟悉高壓 BCD 工藝、有成功流片經驗者、有反向提圖經驗者優先
5.工作認真負責，具備良好的團隊精神及溝通能力
6.可接受出差
7.接受無工作經歷；2-3 年實際、無換職工作經驗尤佳。",NA,,其他電子零組件相關業,0.0
國網中心/設施服務組 AI平台技術文件工程師/1人_AI-06,財團法人國家實驗研究院,31000.0,經歷不拘,"1. Write technical documentation (online help pages, user interface text strings, user manuals, etc...) 。
2. Shoot video tutorials。
3. Edit, clarify, and proofread documents written by others, and coach non-writers on ways to improve their writing skills。
4. Manage complex documentation projects。",NA,,政府／民意機關,0.0
