職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
R-大數據工程師,緯創軟體股份有限公司,40000.0,3年以上,"1. 因應客戶對大數據之需求進行開發，操作、監測ETL數據。
2. 數據資料的蒐集、清洗、儲存、資料庫設計。
3. 將資料視覺化, 程式設計, 工商業邏輯分析師判讀。
4.依數據內容提出客戶優化的改善措施及方案，達成客戶任務。
5.主要技術以Java/SQL/Hadoop/SSIS/OLAP/Teradata/Oracle/DB2/infotmatica/Datastage/R/Python",未填寫, Java ETL MS SQL,電腦軟體服務業,3
Big Data Analyst / 大數據分析師,集邦科技股份有限公司_TRENDFORCE,40000.0,經歷不拘,"Job Description
As a Big Data Analyst, you will be responsible for meeting the Market Intelligence needs for key domains and would be tasked with various tasks central to helping our business partners.

Responsibilities
1.Help to select and integrate any Big Data and frameworks required to provide requested capabilities. 
2.Monitoring performance and advising any necessary infrastructure changes.
3.Work with team to help understand requirement, evaluate new features and architecture and help drive decisions 
4.Propose solutions to optimize current environment and ensure new solutions are optimally designed by development or application architect team, as needed. 
5.Build collaborative partnerships with data scientist, technical leads and key individuals within other functional organizations. 
6.Design/Develop data modules that convert underlying raw data to more readily usable formats for reporting, data mining etc. 

Skills and Qualifications
1.Bachelors degree in math, physics, statistics, Computer Science, finance, economics or related quantitative discipline with experience is required.
2.Advanced quantitative degree preferred.
3.1+ years experience using R/Python experience
4.Ability to meet established timelines.
5.Highly collaborative, team-player attitude
6.Demonstrated ability to present and provide meaningful business insights from data, not just produce reports.",1.熟悉資料探勘、機器學習相關演算法2.具備分析工具或分析套裝軟體(如：SPSS)使用能力3.論文以資料探勘、機器學習，或其它數據分析相關研究為主題者更佳,,網際網路相關業,0
Big Data Developer ( 大數據分析）,美商勞倫斯科技股份有限公司台灣分公司,40000.0,5年以上,"We are looking for a software engineer who is passionate about solving near-unsolvable problems. If you are a brilliant “bleeding edge” innovator trapped in a traditional Software Engineering job building boring business systems. This is your dream job.
The Lead Design Innovator will lead our newly formed Taiwan Innovation Lab, part of the US company’s international team of Dreamers.  He will play several leadership roles which include Technical Mentoring, while also personally be responsible to design Big Data Analytics, Machine Learning, or Language Recognition components of our product.
The ideal candidate for this position is someone who thinks outside-of-the-box .  Creativity, ingenuity, and technical passionate are critical success factors.   It is a given that such talent would already be seasoned and expert in many programming languages and environment.

Responsibilities :
	Work on Natural Language (NLP) component for analytics application to allow interpretation of free form statements
	Develop Machine Learning processes and algorithms to improve accuracy of NLP component
	Be involved in various phases of software development including requirements analysis, application design, and development and testing
	Demonstrate knowledge and experience in Big Data development
	Support Implementation and show great leadership on development of software of AI / ML

 >> the arrange monthly salary would be : 75K - 90k, as long as the candidates possess our ideal requirements <<

>> Candidates without the required qualification and directly relevant experience but exhibit strong potential to learn on the job may be considered to join our Elite team but at a still very strong but different salary than the posted salary <<      
","1.	Bachelor’s Degree in Computer Science or equivalent2.	Minimum 5 years in a software engineering profession3.	Minimum 5 years’ experience developing with .NET, C#, Java, and Python4.	Minimum 3 years’ experience with NLP, Machine Learning and AI5.	Minimum 3 years hands on experience in Big Data technologies such as Hadoop/HBase, ElasticSearch, Storm and Spark 6.	Experience with Data and Statistical Analysis and Algorithm Development7.	Relational Database (SQL Server, Oracle, and MySQL) and NoSQL Database (Mongo, Cassandra) experience8.	Familiarity with Natural Language Interfaces9.	Experience working within Windows and Linux Environments10.	Familiarity working with cloud technologies such as AWS11.	Experience designing and developing large scale systems and applications12.	Strong Mathematical Skills13.	Good Communication Skills14.	Agile Development Methodology Experience",,電腦軟體服務業,5
大數據分析工程師,三陽工業股份有限公司,36000.0,經歷不拘,"1.機車感測器數據分析。
2.大數據資料庫建置及網頁應用開發。
3.車聯網APP發展。
4.程式撰寫。",一、需求說明：1.需具備C#.NET Oracle SQL server資料庫開發經驗。2.熟悉Win Form VB者人機介面設計者佳。3.論文以資料探勘、機器學習，或其它數據分析相關研究為主題者佳。4.物聯網應用的開發。5.熟悉C++、Python、Java、C#者佳。 持有經濟部能力鑑定(iPAS)證書者優先面試!, ASP.NET C# MS SQL Oracle 系統整合分析 軟體工程系統開發 軟體品質與保證,汽車及其零件製造業,0
大數據分析工程師,北祥股份有限公司,40000.0,3年以上,"1.大數據分析資料庫規劃
2.大數據資料分析
3.預測模型建置(使用R/Python)
4.資料視覺化呈現及網頁開發相關技術
5.主管交辦專案其他事項",積極主動、抗壓性高如有具備以下者，優先安排面試1.具備機器學習及深度學習相關知識尤佳2.具備R/Python/C/C++ 等程式能力尤佳3.熟悉 Hadoop 架構尤佳4.熟悉 Scikit_learn、Tensorflow、Keras、Pytorch等機器/深度學習框架尤佳5.持有經濟部能力鑑定(iPAS)證書, Java JavaScript jQuery,電腦系統整合服務業,3
大數據稽核諮詢顧問,勤業眾信聯合會計師事務所,40000.0,2年以上,"1.企業內部稽核協力／委外服務
2.專案查核/特殊項目稽核服務
3.內部稽核作業品質評估服務
4.企業營運風險交易及自動化稽核平台建置
5.內部稽核轉型服務",1. 大學以上管理相關科系所畢業。2. 具英文聽、說、讀、寫能力佳。3. 兩年以上稽核相關工作經驗。4. 具備稽核相關專業證照尤佳。5. 主動積極、具抗壓性、良好之溝通、協調及表達能力並具獨立思考能力。6. 必需配合出差。7. 有意願在顧問領域成長且發展者。, Excel Outlook PowerPoint Word,會計服務業,2
大數據分析工程師,耀點國際有限公司,40000.0,1年以上,"1. 數據分析與挖掘
2. 負責大數據相關專案之規劃與推動
3. 跨單位溝通協調
4. 開發與維護創新預測模型
5. 研發人工智慧分析、巨量資料分析、資料分析、機器學習、統計分析等相關技術",1. 具數據分析相關經驗2. 具數據建模1年(含) 以上相關工作經驗3. 熟悉SAS、R、Python等任一分析工具4. 了解體育賽事數據分析尤佳5. 具專案規劃、系統規劃導入經驗者尤佳6. 具商業、資訊背景尤佳7. 具演算法或機器/深度學習等數據建模能力尤佳8. 具良好溝通能力、思考邏輯清晰、個性正面積極、具高度抗壓性,,電腦軟體服務業,1
大數據開發工程師,台灣獵豹移動股份有限公司,50000.0,經歷不拘,"1、 基於大數據技術，對使用者、市場、運營資料的進行統計分析、挖掘、預測； 
2、 參與大數據平臺整體規劃與架構設計，核心代碼編寫、解決疑難問題； 3、 參與大數據產品反覆運算的設計，優化及創新； 
4、 參與BI平臺資料分析、報表開發工作 崗位要求：

","1.資訊軟體及相關專業，大學以上學歷；2. 熟練使用Java/shell語言進行開發，有高效、高可靠代碼開發經驗，良好的代碼閱讀能力；3. 有扎實的演算法基礎，熟悉常見的資料結構，瞭解分散式演算法和分散式系統；4. 精通資料倉庫建模與資料分析模型方法；5. 精通Hadoop、Spark、Hive、impala等，具有相關環境的使用經驗；6. 精通Storm等常見流式計算，並可快速開發相關指標；7. 精通MYSQL/hiveSql常用函數,瞭解常用優化方案；8. 有BI資料系統開發經驗優先；9. 有ELK/scribe使用經驗者優先；10. 有良好的文檔沉澱習慣，團隊合作能力，善於溝通；",,其它軟體及網路相關業,0
【大數據】CAA 大數據分析工程師(鄭州),鴻海精密工業股份有限公司,40000.0,4年以上,"1.快速理解業務方意圖，能依問題指派彙整分析團隊成員之分析項目及商業數據分析報告
2.協助並參與團隊成員完成產品開發
3.協助並參與產品驗證及debug後的導入",1.具有豐富的數據分析、挖掘和建模等相關2年以上工作經歷2.熟悉數據庫技術、熟練運用SQL，能高效的與技術團隊進行溝通3.主動性強、堅持深入，快速理解業務方意圖，能獨立編寫商業數據分析報告4.有扎實的基本功和良好的邏輯思維能力，掌握一種以上數據分析工具(R/SPSS/SAS 等), R ANSI SQL SAS SPSS,消費性電子產品製造業,4
大數據系統工程師or 大數據系統專案經理,昱峰智能大數據科技股份有限公司,40000.0,經歷不拘,"1.負責大數據系統建置導入客戶端流程
2.監控維護大數據系統運作
3.開發設計大數據系統

3年以上經驗",未填寫, FreeBSD Linux Mac OS Shell Windows 7 Windows Server 2008 Windows 8 Windows Server 2012 AJAX ASP.NET Python MS SQL MySQL ODBC Oracle PL/SQL Vmware Apache SOAP HTML JavaScript jQuery DHCP DNS Firewall FTP HTTP IIS LAN Load Balancing Netbios SAN ssh TCP/IP VLAN VPN WAN 伺服器網站管理維護 作業系統基本操作 資料備份與復原 電腦設備裝配 資訊設備操作檢修 資訊設備環境設定 系統架構規劃 系統維護操作 系統整合分析 軟硬體設備成本控制 網路資料傳輸 功能測試(function test) 安全性測試(Security test) 使用者測試(Usability test) 問題追蹤處理(Bug tracking) 壓力測試(stress test) 資料庫系統管理維護 系統架構規劃與維護 安裝與維護網路安全系統 規劃與管理防火牆 LPIC Level 1,電腦軟體服務業,0
A0925 -大數據分析管理師(具FAE經驗),微星科技股份有限公司,40000.0,1年以上,"1.資料庫分析，預測返修品電腦的故障點、零件預測，以作為電腦自動備料依據。
2.分析客戶網路留言大數據，找出通常性問題，製作FAQ供消費者查詢自行排除障礙。
3.製作留言程式自動回覆FAQ，搜尋消費者留言內容與關鍵字，自動偵測回傳解決方案可相費者做障礙排除。",- 熟電腦作業系統及相關應用軟體- 具FAE，電腦、軟體測試經驗- 具良好的溝通協調及問題分析與解決能力,,消費性電子產品製造業,1
大數據 / 機器學習 / AI 程式設計師,台灣恩悌悌數據股份有限公司,40000.0,經歷不拘,"1. 大數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 熟悉預測方法、發展推薦演算法  
3. 能跨部門(工程/商務等)良好溝通，設計並規劃機器學習演算法的商品化。 
4. 能持續學習機器學習相關演算內容，並能評估演算法可能的應用範圍。

對大數據、AI、機器學習研究有熱情
● 擅長使用至少一種程式語言( 如: Python、Java, C/C++.....等，或AI開發套件: TensorFlow, Caffee.....等) 
● 獨立工作與具備研究熱忱及具團隊合作 
● 對 AI 平台開發有興趣者，具有 AI 平台開發經驗尤佳 ","擅長 Tensorflow, Microsoft Cognitive Toolkit, Matlab, Hadoop, Spark ML 等工具者佳",,工商顧問服務業,0
大數據資料分析師(新竹),倍利科技股份有限公司,40000.0,經歷不拘,"1.根據專案需求進行影像資料分析與建模
2.規畫與架構標準化大數據分析流程
3.其他主管交辦事項",1.工業工程相關系所佳2.具數位影像處理經驗佳,,電腦系統整合服務業,0
大數據訓練分析師(高雄),倍利科技股份有限公司,40000.0,1年以上,"1.根據專案需求進行影像資料分析與建模
2.規畫與架構標準化大數據分析流程
3.對大數據分析有熱誠，也夠細心用心及有耐心
4.對軟體操作有一個程度熱誠及願意學習被教導。
5.能完成主管交辦訓練產品樣本事項及目標。

",NA,,電腦系統整合服務業,1
【服創所】大數據處理分析工程師,資策會_財團法人資訊工業策進會,40000.0,經歷不拘,"1.分散式叢集系統架構規劃與建置
2.處理大量APP/網站使用資料，分析使用者行為，建構模型
3.巨量資料的即時收集、運算處理和分析搜尋",一.電腦能力:程式語言Java、分散式架構Hadoop與Spark、資料庫MongoDB、HBase二.其他條件:1.一年以上大數據處理與分析系統的應用開發經驗、具備有Python&Scala等技術能力尤佳2.對於資料處理與分析具熱情及想法，喜歡接觸不同領域3.對新技術新事務充滿學習熱情，具團隊合作精神4.有參與專題競賽或論文研究方向符合者尤佳5.應徵時檢附成績單及專題作品者優先考慮,,電腦軟體服務業,0
大數據及AI人工智慧工程師,宏遠興業股份有限公司,28000.0,3年以上,"以大數據及AI人工智慧的應用,提升企業績效",NA,,紡紗業,3
網路輿情大數據分析人員,趨勢民意調查股份有限公司,40000.0,經歷不拘,"1.具語意分析、資料探勘、解讀能力者,願學習網路輿情大數據分析洞察，並對其社群效益進行分析及產出整合策略建議、結案報告。 
2.從網路輿情數據的分析與洞察，發掘網友行為模式與偏好，據此創造管理層的數據化決策價值，為客戶提供對應的決策方案。
3.邏輯思維能力強、數據分析能力佳、良好的溝通協調與執行推動能力。
4.需有統計基礎，熟悉spss,sas等統計軟體","科系限制：企業管理學類, 社會學類, 政治學類, 公共行政學類, 數理統計學類, 資訊科學類. 1. 熟悉語意分析、資料探勘之調查方法3. 熟悉SPSS、SAS、STATA統計軟體4. 有民意調查、市場調查、資料探勘經驗者，優先錄用", Excel PowerPoint Word SPSS,工商顧問服務業,0
大數據分析師(新竹/大陸深圳),鴻海精密工業股份有限公司,40000.0,3年以上,"1. 運用資料採擷/機器學習的理論和方法，深入挖掘和分析海量生產資料產生回饋對策
2. 不斷完善和優化演算法，以技術驅動公司品質和效率提升；
3. 包括但不限於建模、分析、預測等，為全公司各業務提供資料採擷方面的支持；
4. 參與design & code review，組織交流分享促進團隊共同進步。","1. 大學或碩士以上資訊、數學、統計學、工工、工管、計量經濟相關科系(歡迎博士加入)2. 精通一門或多門開發語言 (R, Lingo, C#, Java, Python, C++等)，熟練演算法和資料結構；3. 瞭解前瞻技術，熟悉統計預測模型、資料採擷或OR演算法，如回歸,ARIMA等；4. 優秀的溝通能力，有創新精神，樂於接受挑戰。", C# C++ Java Python,消費性電子產品製造業,3
大數據系統架構師(深圳),鴻海精密工業股份有限公司,40000.0,經歷不拘,"1. Hadoop系統架構設計︑服務部署與集群管理
2. 產品開發環境部署、資源優化與安全性管控
3. Hadoop新技術POC與部署服務應用","1. 熟悉大數據服務部署與操作(Hadoop,Spark,MapReduce)2. 具備SQL/NoSQL資料庫建置與管理經驗3. 具備大數據系統建置與管理(Cloudera)經驗尤佳",,消費性電子產品製造業,0
數據分析管理師-大數據經營TEAM,統一生活事業股份有限公司_康是美藥妝店,34000.0,1年以上,"1.規劃、管理數據儲存系統(DEW)，選擇具分析價值的數據(內部、OPEN DATA)，最佳化數據分析效率及品質。
2.數據提取、清理，轉化為可分析資料。
3.評估、分析系統效能，執行效能改善計畫，建立資訊安全機制。
4.規劃、評估數據分析方法，工具導入。
5.分析數據、建立模型，商業化表達分析結果，並轉換為可執行商業方案，追蹤成效。","1. 具資料庫建置以及規劃實際運作經驗。2.具備資料倉儲系統、ETL、商業智慧軟體及SQL、Python程式語法開發經驗。3.熟悉資料結構，具備快速理解資料邏輯的能力。4.具備對資料分析結果做行銷解讀或應用經驗。5.月薪NT$34,000~NT$40,000，具相關工作經驗者可再議薪。",,百貨相關業,1
【AI】CAA大數據分析工程師 (深圳),鴻海精密工業股份有限公司,40000.0,1年以上,"1. 參與多種平臺前端應用開發，包括Web端、PC端及移動端產品；
2. 負責前端交互實現，可根據產品需求快速設計開發介面功能；
3. 負責前端各模組的測試與優化；
4. 熟悉http，https，websocket協定，熟練使用svn,git,grunt,webpack等版本管理或構建工具,熟悉常用WEB開發調試工具
5. 具有良好的產品意識和團隊合作意識，能夠和產品、後端研發等團隊協作完成產品面向使用者端的呈現",未填寫,,消費性電子產品製造業,1
大陸地區-大數據專案特助,脫普聚益股份有限公司,40000.0,5年以上,"1.利用集團既有系統的內、外部資料進行商務智慧分析報表的製作，推動BI系統的資料報表視覺化。
2.依據各部門的資料分析標準、規則及資料中心的管理要求，透過系統進行內、外部資料挖掘與創新應用探索，建立各類分析模型及專項分析，進行大量資料採擷，逐步探索、建構資料分析模型體系。
3.針對行銷過程中的各類資料和方案進行評估、資料分析，以出適宜的管理方案。
4.協助發展集團各部門的資料分析標準和規則的宣貫工作。
5.配合大資料中心須求，推動行銷資料收集和分析機制、流程的建設和優化，逐步探索、構建資料分析模型體系，從業務運行機制層面，幫助、促進行銷業務的發展。
6.建立和協調集團總部和各分公司的工作關係，保持溝通管道暢通與即時滿足內部客戶需求，確保提供專業可靠的業務支援服務，積極配合相關業務部門快速、高效開展相關工作。
7.以專案形式完成與本職工作相關的支持和協調工作，以及直接上級領導交辦的一切對企業發展有利的事情。",1.5年以上工作經驗，且具備3年以上零售業或FMCG產業數據分析或市場銷售等相關工作經驗，並熟悉消費者行為的洞察力，且能協調內外部合作夥伴進行市場研究和個案諮詢工作。2.具良好的自主管理能力，邏輯清晰能條理有序的提出問題及對策。3.良好的人際交往能力、組織協調及溝通能力，以解決複雜問題的分析熟悉應用各種工具進行資料分析。4.本科及數學、統計、電腦、市場行銷及相關專業者優先錄取。, 專案規劃執行╱範圍管理 專案溝通╱整合管理 提案與簡報技巧 行銷策略擬定 市場調查資料分析與報告撰寫 調查樣本統計分析 客戶情報蒐集,其他相關製造業,5
